SKU,名称,分类,属性1名称,属性1值,属性1可见,属性1全局,属性2名称,属性2值,属性2可见,属性2全局,属性3名称,属性3值,属性3可见,属性3全局,属性4名称,属性4值,属性4可见,属性4全局
631172014732,s925纯银彩色圆形锆石项链女欧美跨境七彩宝石吊坠彩虹锁骨链,项饰 > 项链,Color,黄金-925银,1,0,brand,沛尚,1,0,technology,镶宝石,1,0,material,银,1,0
631172014732-1,s925纯银彩色圆形锆石项链女欧美跨境七彩宝石吊坠彩虹锁骨链 - 黄金-925银,,Color,黄金-925银,,0,brand,,,0,,,,,,,,
633018097495,925银月亮星星项链欧美ins风简约气质镶钻锁骨链女潮轻奢小众设计,项饰 > 项链,Color,黄色-925银,1,0,brand,沛尚,1,0,technology,镶钻,1,0,material,银,1,0
633018097495-1,925银月亮星星项链欧美ins风简约气质镶钻锁骨链女潮轻奢小众设计 - 黄色-925银,,Color,黄色-925银,,0,brand,,,0,,,,,,,,
633651325587,旭平首饰 欧美流苏项链女金色ins潮网红气质冬季毛衣链钛钢饰品,项饰 > 项链,Color,钛钢项链,1,0,brand,XUPING JEWELRY/旭平首饰,1,0,technology,电镀,1,0,material,钛钢,1,0
633651325587-1,旭平首饰 欧美流苏项链女金色ins潮网红气质冬季毛衣链钛钢饰品 - 钛钢项链,,Color,钛钢项链,,0,brand,,,0,,,,,,,,
634223023612,欧美ins简约风s925纯银镶钻choker项链女气质性感短款锆石锁骨链,项饰 > 项链,Color,黄色-925银,1,0,brand,沛尚,1,0,technology,镶钻,1,0,material,银,1,0
634223023612-1,欧美ins简约风s925纯银镶钻choker项链女气质性感短款锆石锁骨链 - 黄色-925银,,Color,黄色-925银,,0,brand,,,0,,,,,,,,
633297454276,s925银镶钻项链女欧美ins圆牌硬币微镶锆石玫瑰花项链吊坠锁骨链,项饰 > 项链,Color,黄色-925银,1,0,brand,沛尚,1,0,technology,镶钻,1,0,material,银,1,0
633297454276-1,s925银镶钻项链女欧美ins圆牌硬币微镶锆石玫瑰花项链吊坠锁骨链 - 黄色-925银,,Color,黄色-925银,,0,brand,,,0,,,,,,,,
634778560448,跨境新品配饰s925纯银项链女欧美ins风复古赫本头像吊坠锁骨链,项饰 > 项链,Color,"玫瑰金-925银, 黄色-925银",1,0,brand,沛尚,1,0,technology,电镀,1,0,material,银,1,0
634778560448-1,跨境新品配饰s925纯银项链女欧美ins风复古赫本头像吊坠锁骨链 - 玫瑰金-925银,,Color,玫瑰金-925银,,0,brand,,,0,,,,,,,,
634778560448-2,跨境新品配饰s925纯银项链女欧美ins风复古赫本头像吊坠锁骨链 - 黄色-925银,,Color,黄色-925银,,0,brand,,,0,,,,,,,,
635528566081,旭平首饰 新品简约ins小巧魔方镶嵌合成立方氧化锆石铜合金项链女,项饰 > 项链,Color,镀白金色,1,0,brand,XUPING JEWELRY/旭平首饰,1,0,technology,电镀,1,0,material,铜合金,1,0
635528566081-1,旭平首饰 新品简约ins小巧魔方镶嵌合成立方氧化锆石铜合金项链女 - 镀白金色,,Color,镀白金色,,0,brand,,,0,,,,,,,,
635668685671,旭平首饰 镀白金色三叶草时尚套装 欧美简约两件套套装耳环项链女,项饰 > 项链,Color,套装（链条随机）,1,0,brand,XUPING JEWELRY/旭平首饰,1,0,style,简约,1,0,,,,
635668685671-1,旭平首饰 镀白金色三叶草时尚套装 欧美简约两件套套装耳环项链女 - 套装（链条随机）,,Color,套装（链条随机）,,0,brand,,,0,,,,,,,,
635785223248,跨境配饰s925纯银项链首饰品女欧美时尚经典梦露头像吊坠锁骨链,项饰 > 项链,Color,"玫瑰金-925银, 黄色-925银",1,0,brand,沛尚,1,0,technology,电镀,1,0,material,银,1,0
635785223248-1,跨境配饰s925纯银项链首饰品女欧美时尚经典梦露头像吊坠锁骨链 - 玫瑰金-925银,,Color,玫瑰金-925银,,0,brand,,,0,,,,,,,,
635785223248-2,跨境配饰s925纯银项链首饰品女欧美时尚经典梦露头像吊坠锁骨链 - 黄色-925银,,Color,黄色-925银,,0,brand,,,0,,,,,,,,
636828613627,旭平首饰新品电镀不锈钢毛衣链秋冬 嘻哈钛钢欧美十字架项链女,项饰 > 项链,Color,钛钢项链,1,0,brand,XUPING JEWELRY/旭平首饰,1,0,technology,电镀,1,0,material,钛钢,1,0
636828613627-1,旭平首饰新品电镀不锈钢毛衣链秋冬 嘻哈钛钢欧美十字架项链女 - 钛钢项链,,Color,钛钢项链,,0,brand,,,0,,,,,,,,
637159850973,旭平首饰不锈钢电镀金属锁骨链 厂家直供新品钛钢欧美锁头项链女,项饰 > 项链,Color,14K金色钛钢项链,1,0,brand,XUPING JEWELRY/旭平首饰,1,0,technology,电镀,1,0,material,钛钢,1,0
637159850973-1,旭平首饰不锈钢电镀金属锁骨链 厂家直供新品钛钢欧美锁头项链女 - 14K金色钛钢项链,,Color,14K金色钛钢项链,,0,brand,,,0,,,,,,,,
665859423631,韩版韩式新款红色滴油S925纯银项链镶嵌黑玛瑙吊坠锁骨链厂家批发,项饰 > 项链,Color,吊坠不含链-925银,1,0,brand,爱如美,1,0,technology,电镀,1,0,material,银,1,0
665859423631-1,韩版韩式新款红色滴油S925纯银项链镶嵌黑玛瑙吊坠锁骨链厂家批发 - 吊坠不含链-925银,,Color,吊坠不含链-925银,,0,brand,,,0,,,,,,,,
666156969803,新款日韩轻奢风项链女S925银镀复古感镶嵌蓝宝石吊坠厂家批发,项饰 > 项链,Color,吊坠不含链,1,0,brand,爱如美,1,0,technology,电镀,1,0,material,银,1,0
666156969803-1,新款日韩轻奢风项链女S925银镀复古感镶嵌蓝宝石吊坠厂家批发 - 吊坠不含链,,Color,吊坠不含链,,0,brand,,,0,,,,,,,,
662936166399,跨境专供S925纯银雪花项链女滴油圣诞树项链锁骨链圣诞节礼物批发,项饰 > 项链,Color,厚银白金-925银,1,0,brand,爱如美,1,0,technology,电镀,1,0,material,银,1,0
662936166399-1,跨境专供S925纯银雪花项链女滴油圣诞树项链锁骨链圣诞节礼物批发 - 厚银白金-925银,,Color,厚银白金-925银,,0,brand,,,0,,,,,,,,
663641923373,旭平首饰欧美小众设计感锁骨链时尚双层简约ins冷淡风几何项链女,项饰 > 项链,Color,镀白金色,1,0,brand,,1,0,technology,,1,0,material,,1,0
663641923373-1,旭平首饰欧美小众设计感锁骨链时尚双层简约ins冷淡风几何项链女 - 镀白金色,,Color,镀白金色,,0,brand,,,0,,,,,,,,
661038992083,新款圣诞系列S925纯银雪花项链珍珠项链女ins风网红气质厂家批发,项饰 > 项链,Color,10K黄金+泳漆-925银,1,0,brand,爱如美,1,0,technology,电镀,1,0,material,银,1,0
661038992083-1,新款圣诞系列S925纯银雪花项链珍珠项链女ins风网红气质厂家批发 - 10K黄金+泳漆-925银,,Color,10K黄金+泳漆-925银,,0,brand,,,0,,,,,,,,
659294888016,2022新款S925纯银项链滴油可爱卡通圣诞系列铃铛项链跨境饰品批发,项饰 > 项链,Color,10K黄金+泳漆-925银,1,0,brand,爱如美,1,0,technology,电镀,1,0,material,银,1,0
659294888016-1,2022新款S925纯银项链滴油可爱卡通圣诞系列铃铛项链跨境饰品批发 - 10K黄金+泳漆-925银,,Color,10K黄金+泳漆-925银,,0,brand,,,0,,,,,,,,
659641018336,s925纯银风车项链女时尚简约森系镶钻花朵锁骨链吊坠小清新系列,项饰 > 项链,Color,"白色-925银, 黄色-925银",1,0,brand,沛尚,1,0,technology,镶钻,1,0,material,银,1,0
659641018336-1,s925纯银风车项链女时尚简约森系镶钻花朵锁骨链吊坠小清新系列 - 白色-925银,,Color,白色-925银,,0,brand,,,0,,,,,,,,
