ID,类型,SKU,名称,已发布,是推荐产品,在列表页可见,简短描述,描述,促销开始日期,促销截止日期,税状态,税类,有货,库存,库存不足,允许缺货下单,单独出售,重量(kg),长度(cm),宽度(cm),高度(cm),允许客户评价,购物备注,促销价格,常规售价,分类,标签,运费类,图片,下载限制,下载的过期天数,父级,分组产品,交叉销售,交叉销售,外部链接,按钮文本,位置,属性1名称,属性1值,属性1可见,属性1全局,属性2名称,属性2值,属性2可见,属性2全局,属性3名称,属性3值,属性3可见,属性3全局,属性4名称,属性4值,属性4可见,属性4全局,属性5名称,属性5值,属性5可见,属性5全局,属性6名称,属性6值,属性6可见,属性6全局
60672,variable,1105149682,2022秋冬新款头层牛皮女包单肩手提斜挎包潮流大容量女百搭腋下包,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,女士包包 > 女士单肩包,,,"https://zecodo.com/wp-content/uploads/2023/01/O1CN01yqSou8290LHghiA8U_952538005-0-cib.jpg, https://zecodo.com/wp-content/uploads/2023/01/O1CN01MhdVTu290LHkgD7Gm_952538005-0-cib.jpg, https://zecodo.com/wp-content/uploads/2023/01/O1CN01RcAgyO290LHlUxqIf_952538005-0-cib.jpg, https://zecodo.com/wp-content/uploads/2023/01/O1CN01PPngnC290LHghiEHu_952538005-0-cib.jpg, https://zecodo.com/wp-content/uploads/2023/01/O1CN01Ea6gS1290LHd1NWNq_952538005-0-cib.jpg, https://zecodo.com/wp-content/uploads/2023/01/O1CN01nsBEDs290LHSuPDgu_952538005-0-cib.jpg, https://zecodo.com/wp-content/uploads/2023/01/O1CN01sbiQVX290LHd1W7Bi_952538005-0-cib.jpg, https://zecodo.com/wp-content/uploads/2023/01/O1CN01MLvlcp290LHcEMoKH_952538005-0-cib.jpg, https://zecodo.com/wp-content/uploads/2023/01/O1CN01TJmfDn290LHXkPjtf_952538005-0-cib.jpg",,,,,,,,,0,Color,"黑色, 焦糖色, 白色, 灰色",1,0,brand,,1,0,technology,,1,0,material,真皮,1,0,style,欧美复古,1,0,,,,
60730,variation,1105149682-1,2022秋冬新款头层牛皮女包单肩手提斜挎包潮流大容量女百搭腋下包 - 黑色,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,118,,,,https://zecodo.com/wp-content/uploads/2023/01/O1CN01nsBEDs290LHSuPDgu_952538005-0-cib.jpg,,,1105149682,,,,,,1,Color,黑色,,0,brand,,,0,,,,,,,,,,,,,,,,
60731,variation,1105149682-2,2022秋冬新款头层牛皮女包单肩手提斜挎包潮流大容量女百搭腋下包 - 焦糖色,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,118,,,,https://zecodo.com/wp-content/uploads/2023/01/O1CN01MLvlcp290LHcEMoKH_952538005-0-cib.jpg,,,1105149682,,,,,,1,Color,焦糖色,,0,brand,,,0,,,,,,,,,,,,,,,,
60732,variation,1105149682-3,2022秋冬新款头层牛皮女包单肩手提斜挎包潮流大容量女百搭腋下包 - 白色,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,118,,,,https://zecodo.com/wp-content/uploads/2023/01/O1CN01TJmfDn290LHXkPjtf_952538005-0-cib.jpg,,,1105149682,,,,,,1,Color,白色,,0,brand,,,0,,,,,,,,,,,,,,,,
60733,variation,1105149682-4,2022秋冬新款头层牛皮女包单肩手提斜挎包潮流大容量女百搭腋下包 - 灰色,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,118,,,,https://zecodo.com/wp-content/uploads/2023/01/O1CN01sbiQVX290LHd1W7Bi_952538005-0-cib.jpg,,,1105149682,,,,,,1,Color,灰色,,0,brand,,,0,,,,,,,,,,,,,,,,
60885,variable,1129699475,2022广州秋冬新款欧美百搭真皮女包休闲流苏手提单肩斜挎女士包包,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,女士包包 > 女士手提包,,,"https://zecodo.com/wp-content/uploads/2023/01/9128081876_610693992.jpg, https://zecodo.com/wp-content/uploads/2023/01/3092456962_610693992.jpg, https://zecodo.com/wp-content/uploads/2023/01/3093708067_610693992.jpg, https://zecodo.com/wp-content/uploads/2023/01/3091402100_610693992.jpg, https://zecodo.com/wp-content/uploads/2023/01/3091399209_610693992.jpg, https://zecodo.com/wp-content/uploads/2023/01/3092462739_610693992.jpg, https://zecodo.com/wp-content/uploads/2023/01/O1CN01qdNcMX290LDv71AzU_952538005-0-cib.jpg, https://zecodo.com/wp-content/uploads/2023/01/O1CN01EDbydA290LFDwBQ3y_952538005-0-cib.jpg, https://zecodo.com/wp-content/uploads/2023/01/O1CN01zTokgs290LFCYCGti_952538005-0-cib.jpg",,,,,,,,,0,Color,"浅蓝色, 黑, 玫红, 橙色, 黄色",1,0,material,真皮,1,0,style,休闲,1,0,,,,,,,,,,,,
60955,variation,1129699475-1,2022广州秋冬新款欧美百搭真皮女包休闲流苏手提单肩斜挎女士包包 - 浅蓝色,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,150,,,,https://zecodo.com/wp-content/uploads/2023/01/3092456962_610693992.jpg,,,1129699475,,,,,,1,Color,浅蓝色,,0,,,,,,,,,,,,,,,,,,,,
60956,variation,1129699475-2,2022广州秋冬新款欧美百搭真皮女包休闲流苏手提单肩斜挎女士包包 - 黑,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,150,,,,https://zecodo.com/wp-content/uploads/2023/01/O1CN01EDbydA290LFDwBQ3y_952538005-0-cib.jpg,,,1129699475,,,,,,1,Color,黑,,0,,,,,,,,,,,,,,,,,,,,
60957,variation,1129699475-3,2022广州秋冬新款欧美百搭真皮女包休闲流苏手提单肩斜挎女士包包 - 玫红,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,150,,,,https://zecodo.com/wp-content/uploads/2023/01/O1CN01zTokgs290LFCYCGti_952538005-0-cib.jpg,,,1129699475,,,,,,1,Color,玫红,,0,,,,,,,,,,,,,,,,,,,,
60958,variation,1129699475-4,2022广州秋冬新款欧美百搭真皮女包休闲流苏手提单肩斜挎女士包包 - 橙色,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,150,,,,https://zecodo.com/wp-content/uploads/2023/01/O1CN01qdNcMX290LDv71AzU_952538005-0-cib.jpg,,,1129699475,,,,,,1,Color,橙色,,0,,,,,,,,,,,,,,,,,,,,
