ID,类型,SKU,名称,已发布,是推荐产品,在列表页可见,简短描述,描述,促销开始日期,促销截止日期,税状态,税类,有货,库存,库存不足,允许缺货下单,单独出售,重量(kg),长度(cm),宽度(cm),高度(cm),允许客户评价,购物备注,促销价格,常规售价,分类,标签,运费类,图片,下载限制,下载的过期天数,父级,分组产品,交叉销售,交叉销售,外部链接,按钮文本,位置,属性1名称,属性1值,属性1可见,属性1全局,属性2名称,属性2值,属性2可见,属性2全局,属性3名称,属性3值,属性3可见,属性3全局,属性4名称,属性4值,属性4可见,属性4全局,属性5名称,属性5值,属性5可见,属性5全局,属性6名称,属性6值,属性6可见,属性6全局
38683,variable,603259050211,Sterling Silver Hoop Earring Rhombus Fringe Pendant,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Earring > Ear Drop,,,"https://zecodo.com/wp-content/uploads/2022/12/12142685731_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/12142694413_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/12109024381_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01avIyJy1ouZxfvznqu_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/12071799249_480399264.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Silver,1,0,,,,,,,,,,,,
38758,variation,603259050211-1,Sterling Silver Hoop Earring Rhombus Fringe Pendant - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,27,,,,https://zecodo.com/wp-content/uploads/2022/12/12109024381_480399264.jpg,,,603259050211,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
38659,variable,622570863442,Sterling Silver C-shape Cuff Earring Zirconia Paved,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Earring > Ear Cuff,,,"https://zecodo.com/wp-content/uploads/2022/12/17636354862_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/17566147583_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/17508753210_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01IqrNwy1ouZxgODvvl_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/17636375139_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/17566168025_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/17636369467_480399264.jpg",,,,,,,,,0,Color,"Grey, Silver, Gold",1,0,,,,,Material,Silver,1,0,Technology,"Electroplate, Gem Inlaid",1,0,,,,,,,,
38747,variation,622570863442-1,Sterling Silver C-shape Cuff Earring Zirconia Paved - Grey,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,https://zecodo.com/wp-content/uploads/2022/12/17636369467_480399264.jpg,,,622570863442,,,,,,1,Color,Grey,,0,,,,,,,,,,,,,,,,,,,,
38748,variation,622570863442-2,Sterling Silver C-shape Cuff Earring Zirconia Paved - Silver,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,https://zecodo.com/wp-content/uploads/2022/12/17566168025_480399264.jpg,,,622570863442,,,,,,1,Color,Silver,,0,,,,,,,,,,,,,,,,,,,,
38749,variation,622570863442-3,Sterling Silver C-shape Cuff Earring Zirconia Paved - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,https://zecodo.com/wp-content/uploads/2022/12/17508753210_480399264.jpg,,,622570863442,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
38658,variable,622972975410,Sterling Silver C-shape Stud Earring Multiple Beads,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Earring > Ear Stud,,,"https://zecodo.com/wp-content/uploads/2022/12/16908973890_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/16855551975_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01GFepa01ouZxmoUVHS_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01ykgval1ouZxf8L0IL_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/16978205659_480399264.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Silver,1,0,Technology,Electroplate,1,0,,,,,,,,
38739,variation,622972975410-1,Sterling Silver C-shape Stud Earring Multiple Beads - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,23,,,,https://zecodo.com/wp-content/uploads/2022/12/16908973890_480399264.jpg,,,622972975410,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
38657,variable,622974955038,Sterling Silver Hoop Earring Virgin Mary Coin Pendant,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Earring > Ear Drop,,,"https://zecodo.com/wp-content/uploads/2022/12/17568355512_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/17511060093_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/17638499122_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/17638496167_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/17568346672_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/17638490691_480399264.jpg",,,,,,,,,0,Color,"Gold, Retro",1,0,,,,,Material,Silver,1,0,Technology,Electroplate,1,0,,,,,,,,
38732,variation,622974955038-1,Sterling Silver Hoop Earring Virgin Mary Coin Pendant - Retro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,33,,,,https://zecodo.com/wp-content/uploads/2022/12/17638490691_480399264.jpg,,,622974955038,,,,,,1,Color,Retro,,0,,,,,,,,,,,,,,,,,,,,
38733,variation,622974955038-2,Sterling Silver Hoop Earring Virgin Mary Coin Pendant - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,33,,,,https://zecodo.com/wp-content/uploads/2022/12/17638499122_480399264.jpg,,,622974955038,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
38634,variable,625249401508,Sterling Silver Hoop Earring Rhombus Zirconia Inlaid,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Earring > Ear Buckle,,,"https://zecodo.com/wp-content/uploads/2022/12/O1CN01LtQQXf1ouZxAljpOd_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01CbsPKk1ouZwymkioY_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01kd7Y7p1ouZwxHH8xD_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01yCIIlf1ouZwsR4GmS_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/19926157601_480399264.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Silver,1,0,Technology,"Electroplate, Gem Inlaid",1,0,,,,,,,,
