ID,类型,SKU,名称,已发布,是推荐产品,在列表页可见,简短描述,描述,促销开始日期,促销截止日期,税状态,税类,有货,库存,库存不足,允许缺货下单,单独出售,重量(kg),长度(cm),宽度(cm),高度(cm),允许客户评价,购物备注,促销价格,常规售价,分类,标签,运费类,图片,下载限制,下载的过期天数,父级,分组产品,交叉销售,交叉销售,外部链接,按钮文本,位置,属性1名称,属性1值,属性1可见,属性1全局,属性2名称,属性2值,属性2可见,属性2全局,属性3名称,属性3值,属性3可见,属性3全局,属性4名称,属性4值,属性4可见,属性4全局,属性5名称,属性5值,属性5可见,属性5全局,属性6名称,属性6值,属性6可见,属性6全局
39771,variable,532704967708,Sterling Silver Necklace Bee Pendant Topaz Inlaid,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Necklace,,,"https://zecodo.com/wp-content/uploads/2022/12/8613316242_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/4521536703_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/12693092239_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/2913305824_217916166.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Silver,1,0,Technology,"Electroplate, Gem Inlaid",1,0,,,,,,,,
39866,variation,532704967708-1,Sterling Silver Necklace Bee Pendant Topaz Inlaid - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,118,,,,https://zecodo.com/wp-content/uploads/2022/12/2913305824_217916166.jpg,,,532704967708,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
56444,variable,588577720611,Sterling Silver Necklace Harley Quinn Coin Pendant,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Necklace,,,,,,,,,,,,0,Color,Gold,1,0,,,,,Material,Copper,1,0,Technology,Electroplate,1,0,,,,,,,,
56516,variation,588577720611-1,Sterling Silver Necklace Harley Quinn Coin Pendant - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,10,,,,https://zecodo.com/wp-content/uploads/2022/12/10541973757_480399264.jpg,,,588577720611,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
56398,variable,591755168399,Sterling Silver Necklace Angel Coin Pendant,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Necklace,,,"https://zecodo.com/wp-content/uploads/2022/12/O1CN01dpSZNM1ouZvfrpktF_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN019qnDCT1ouZvhrc6Na_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN012UulJi1ouZvWkUY5H_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01lFOwbm1ouZvk1SOGC_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/13341513462_480399264.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Silver,1,0,Technology,Electroplate,1,0,,,,,,,,
56483,variation,591755168399-1,Sterling Silver Necklace Angel Coin Pendant - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01dpSZNM1ouZvfrpktF_3967795285-0-cib.jpg,,,591755168399,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
56324,variable,591974409636,Sterling Silver Necklace Hollow-out World Map Round Pendant,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Necklace,,,"https://zecodo.com/wp-content/uploads/2022/12/15711944941_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/15649432425_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/10804794289_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/15711935788_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/15605820047_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/15602169697_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/15711941825_480399264.jpg",,,,,,,,,0,Color,"Gold, Silver, Rose Gold",1,0,,,,,Material,Silver,1,0,Technology,Electroplate,1,0,,,,,,,,
56424,variation,591974409636-1,Sterling Silver Necklace Hollow-out World Map Round Pendant - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,29,,,,https://zecodo.com/wp-content/uploads/2022/12/15602169697_480399264.jpg,,,591974409636,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
56425,variation,591974409636-2,Sterling Silver Necklace Hollow-out World Map Round Pendant - Rose Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,29,,,,https://zecodo.com/wp-content/uploads/2022/12/15711941825_480399264.jpg,,,591974409636,,,,,,1,Color,Rose Gold,,0,,,,,,,,,,,,,,,,,,,,
56426,variation,591974409636-3,Sterling Silver Necklace Hollow-out World Map Round Pendant - Silver,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,29,,,,https://zecodo.com/wp-content/uploads/2022/12/15649432425_480399264.jpg,,,591974409636,,,,,,1,Color,Silver,,0,,,,,,,,,,,,,,,,,,,,
40243,variable,591978945089,Sterling Silver Necklace Leo Coin Pendant,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Necklace,,,"https://zecodo.com/wp-content/uploads/2022/12/O1CN01lxo1Gv1ouZvj3SwIj_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN018VuzAq1ouZvhreWDM_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01eXBLES1ouZvj3UgRW_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01BvVaos1ouZvbZWa1L_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/10834843960_480399264.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Silver,1,0,Technology,Electroplate,1,0,,,,,,,,
40327,variation,591978945089-1,Sterling Silver Necklace Leo Coin Pendant - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,40,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01lxo1Gv1ouZvj3SwIj_3967795285-0-cib.jpg,,,591978945089,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
56366,variable,591982894109,Sterling Silver Necklace Crescent Moon Pendant,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Necklace,,,"https://zecodo.com/wp-content/uploads/2022/12/O1CN01DlH1uR1ouZvdkQScC_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01ksfLwr1ouZvWkMpRq_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01DnI5cD1ouZvWkMpQE_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01Qe6cnT1ouZvoCuPTe_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/10835113396_480399264.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Silver,1,0,Technology,Electroplate,1,0,,,,,,,,
56455,variation,591982894109-1,Sterling Silver Necklace Crescent Moon Pendant - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,39,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01DlH1uR1ouZvdkQScC_3967795285-0-cib.jpg,,,591982894109,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
