ID,类型,SKU,名称,已发布,是推荐产品,在列表页可见,简短描述,描述,促销开始日期,促销截止日期,税状态,税类,有货,库存,库存不足,允许缺货下单,单独出售,重量(kg),长度(cm),宽度(cm),高度(cm),允许客户评价,购物备注,促销价格,常规售价,分类,标签,运费类,图片,下载限制,下载的过期天数,父级,分组产品,交叉销售,交叉销售,外部链接,按钮文本,位置,属性1名称,属性1值,属性1可见,属性1全局,属性2名称,属性2值,属性2可见,属性2全局,属性3名称,属性3值,属性3可见,属性3全局,属性4名称,属性4值,属性4可见,属性4全局,属性5名称,属性5值,属性5可见,属性5全局,属性6名称,属性6值,属性6可见,属性6全局
42452,variable,566042636016,Sterling Silver Gap Ring Turquoise Inlaid,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Ring > Gap,,,"https://zecodo.com/wp-content/uploads/2022/12/8635426017_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/8635402351_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/9175034882_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/8650088961_1210089348.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Silver,1,0,Technology,"Electroplate, Gem Inlaid",1,0,,,,,,,,
42543,variation,566042636016-1,Sterling Silver Gap Ring Turquoise Inlaid - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,79,,,,https://zecodo.com/wp-content/uploads/2022/12/8650088961_1210089348.jpg,,,566042636016,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
42498,variable,570823059812,Sterling Silver Gap Ring Square Garnet Inlaid,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Ring > Gap,,,"https://zecodo.com/wp-content/uploads/2022/12/8923152096_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/9361551590_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/8923122641_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/9405890415_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/9178145598_1210089348.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Silver,1,0,Technology,"Electroplate, Gem Inlaid",1,0,,,,,,,,
42577,variation,570823059812-1,Sterling Silver Gap Ring Square Garnet Inlaid - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,54,,,,https://zecodo.com/wp-content/uploads/2022/12/9178145598_1210089348.jpg,,,570823059812,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
42447,variable,571650842486,Sterling Silver Ring Flower Deco Round Garnet Inlaid,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Ring > Adjustable,,,"https://zecodo.com/wp-content/uploads/2022/12/9033443463_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/8995413714_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/12654298703_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/9136947196_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/9136953142_1210089348.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Silver,1,0,Technology,"Electroplate, Gem Inlaid",1,0,,,,,,,,
42509,variation,571650842486-1,Sterling Silver Ring Flower Deco Round Garnet Inlaid - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,56,,,,https://zecodo.com/wp-content/uploads/2022/12/9136953142_1210089348.jpg,,,571650842486,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
56855,variable,573182494650,Sterling Silver Ring Round Moonstone Inlaid,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Ring > Adjustable,,,"https://zecodo.com/wp-content/uploads/2022/12/9104198726_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/4475635475_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/4478544313_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/9137079913_1210089348.jpg",,,,,,,,,0,Color,Rose Gold,1,0,,,,,Material,Silver,1,0,Technology,"Electroplate, Gem Inlaid",1,0,,,,,,,,
56925,variation,573182494650-1,Sterling Silver Ring Round Moonstone Inlaid - Rose Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,90,,,,https://zecodo.com/wp-content/uploads/2022/12/9137079913_1210089348.jpg,,,573182494650,,,,,,1,Color,Rose Gold,,0,,,,,,,,,,,,,,,,,,,,
42449,variable,573745887567,Sterling Silver Ring Flower Base Oval Opal Inlaid,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Ring > Adjustable,,,"https://zecodo.com/wp-content/uploads/2022/12/9093144689_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/9115783323_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/9115768633_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/4160403548_1210089348.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Silver,1,0,Technology,"Electroplate, Gem Inlaid",1,0,,,,,,,,
42521,variation,573745887567-1,Sterling Silver Ring Flower Base Oval Opal Inlaid - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,89,,,,https://zecodo.com/wp-content/uploads/2022/12/9093144689_1210089348.jpg,,,573745887567,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
